giro,nicho,empresa,url,tipo,notas,prioridad
Distribuidor de café,Granos de café,Café Tierra y Nube,https://www.tierraynube.com/,D2C / productor,"Café de especialidad Oaxaca, grano y molido, envíos MX",Alta
Distribuidor de café,Granos de café,Finca Rosa María,https://fincarosamaria.com.mx/,D2C / productor,"Café Chiapas tostado en grano, tienda online",Alta
Distribuidor de café,Granos de café,Bola de Oro,https://boladeoro.com.mx/tienda-en-linea-cafe-molido-y-en-grano/,Productor,"Productores Coatepec, molido y grano",Alta
Distribuidor de café,Granos de café,CAFIVER (ejemplo dado),https://tienda.cafiver.com/,Ejemplo original,Ejemplo del cliente,Referencia
Salud,Colágeno hidrolizado,The Blue Formula (ejemplo),https://theblueformula.com/,Ejemplo original,Ejemplo del cliente,Referencia
Salud,Colágeno hidrolizado,B Life / Life360+,https://www.blife.mx/,Marca D2C,"Suplementos y colágeno, fuerte en ecom MX",Alta
Salud,Colágeno hidrolizado,Supernaturista,https://supernaturista.com/,Retail online,"Colágeno Vidanat, Pronat, Ypenza",Media
Salud,Colágeno hidrolizado,Videm Superfoods,https://videm.mx/,Marca D2C,Colágeno en polvo sabores,Media
Salud,Colágeno hidrolizado,Muscle Max Plus,https://musclemaxplus.com/collections/colageno,Retail suplementos,+105 productos colágeno,Media
Alimentos,Frutos secos,El Eden MX (ejemplo),https://eledenmx.com/,Ejemplo original,Ejemplo del cliente,Referencia
Alimentos,Frutos secos,Fun Fruit,https://funfruit.com.mx/,Mayoreo B2B,"Mayorista frutos secos y semillas, envíos nacionales",Alta
Alimentos,Frutos secos,El Fresno Express,https://elfresnoexpress.com/,Mayoreo B2B,"Mayoreo CDMX/Edomex, repostería y abarrotes",Alta
Alimentos,Frutos secos,Mayoreo Online (Ruiseñor),https://mayoreo.online/collections/nueces,Mayoreo,"Cajas 10-22kg almendras, nuez, etc.",Alta
Alimentos,Frutos secos,Carmeluz,https://www.carmeluz.com/collections/nueces-y-frutas-deshidratadas,Granel / D2C,Monterrey + envíos MX,Media
Alimentos,Frutos secos,Venta de Nuez Almendra y Granos,https://ventadenuezalmendraygranos.com/nueces-almendras-venta-mayoreo/,Mayoreo,"Desde 1kg hasta toneladas, CDMX",Alta
Coleccionables,Cartas/tarjetas de colección,Tienda Panini (ejemplo),https://tiendapanini.com.mx/,Ejemplo original,Ejemplo del cliente,Referencia
Coleccionables,Cartas/tarjetas de colección,MasterForce TCG,https://masterforcemx.com/,Tienda TCG,"Pokémon, YGO, One Piece, Magic",Alta
Coleccionables,Cartas/tarjetas de colección,Hidralistico,https://hidralistico.com.mx/,Tienda TCG,"Desde 2007, catálogo singles grande MX",Alta
Coleccionables,Cartas/tarjetas de colección,Colecciona MX,https://colecciona.mx/,Tienda online TCG,"Pokémon, MTG, One Piece, Lorcana",Alta
Coleccionables,Cartas/tarjetas de colección,ProCards México,https://procardsmexico.com.mx/,Tienda TCG,"TCG originales, envíos nacionales",Alta
Coleccionables,Cartas/tarjetas de colección,Akibara Xpress,https://akibaraxpress.com/collections/tcg-mexico-cartas-coleccionables-y-accesorios,Tienda geek/TCG,Pokémon y más TCG,Media
Coleccionables,Cartas/tarjetas de colección,Explosion Shops,https://explosionshops.com.mx/,Tienda TCG,"Cd. Juárez, envíos DHL/FedEx",Media
Alimentos,Botanas y snacks mexicanos,Chan Chips (ejemplo),https://chanchips.com/,Ejemplo original,Ejemplo del cliente,Referencia
Alimentos,Botanas y snacks mexicanos,Botanas Torritos,https://botanastorritos.com/,Fabricante D2C,"Botanas yucatecas desde 1953, tienda online",Alta
Alimentos,Botanas y snacks mexicanos,Botanas Los Compadres,https://botanasloscompadres.com/,Fabricante/distribuidor,"Proveedor tiendas y supermercados, Yucatán",Alta
Alimentos,Botanas y snacks mexicanos,Totis,https://www.totis.com.mx/,Marca nacional,Botanas mexicanas clásicas,Media
Alimentos,Botanas y snacks mexicanos,Botanas Lily,https://www.botanaslily.com.mx,Fabricante,"GDL, cronchitos y tostis",Media
Alimentos,Botanas y snacks mexicanos,Productos Don Tacho,https://www.productosdontacho.com/,Fábrica botanas,"SLP, frituras y botanas",Media
Belleza,Maquillaje artístico,Colibrix (ejemplo),https://colibrix.com.mx/productos/,Ejemplo original,Ejemplo del cliente,Referencia
Belleza,Maquillaje artístico,MEGA Body Paint México,https://www.facebook.com/MegaBodyPaintMx/,Servicio + producto,Body paint y maquillaje artístico,Media
Belleza,Maquillaje artístico,Don Checo Art,https://www.donchecoart.com/bodypaint,Servicio profesional,Body paint eventos masivos MX,Media
Ropa,Disfraces,My Kids MX (ejemplo),https://mykidsmx.com/,Ejemplo original,Ejemplo del cliente,Referencia
Ropa,Disfraces,Mercado Libre sellers MX,https://listado.mercadolibre.com.mx/disfraces,Marketplace,Muchos vendedores MX de disfraces; scrapear tiendas oficiales,Media
Regalos,Cestas de regalo,Regalos y Canastas (ejemplo),https://www.regalosycanastas.mx/,Ejemplo original,Ejemplo del cliente,Referencia
Regalos,Cestas de regalo,Arcones Gourmet,https://arconesgourmet.com/,D2C regalos,"Canastas gourmet CDMX, productos artesanales MX",Alta
Regalos,Cestas de regalo,Canastas y Arcones MX,https://canastasyarcones.mx/,B2B/B2C,"Arcones empresariales, mayoreo, logística nacional",Alta
Regalos,Cestas de regalo,Arcones.mx,https://arcones.mx/,D2C,Canastas gourmet y corporativas,Alta
Regalos,Cestas de regalo,María Orsini,https://mariaorsini.com.mx/,Premium regalos,"+40 años, canastas premium CDMX",Alta
Blancos,"Almohadas, cobijas",Mint and Lime (ejemplo),https://mintandlime.mx/,Ejemplo original,Ejemplo del cliente,Referencia
Blancos,"Almohadas, cobijas",Blancos Azteca,https://listado.mercadolibre.com.mx/almohadas_Store_blancos-azteca,Marca D2C,Almohadas muy vendidas MX,Alta
