giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,Extensiones de pelo para salon,Cabello Natural,https://www.cabellonatural.com.mx/,extensionesdepelo16@gmail.com,3338150221,Zapopan,Jalisco,México,Ecom,Alta,9,"Extensiones y coletas de cabello natural; Plaza Picacho, Calz. Lázaro Cárdenas 3770 local 3A",research
Belleza,Extensiones de pelo para salon,Extensiones de Cabello CDMX,https://extensiones-de-cabello-cdmx.negocio.site/,,5514406688,CDMX,CDMX,México,Mayoreo,Alta,6,Cabello 100% humano y virgen; Chupícuaro 15; envíos nacionales,research
Belleza,Extensiones de pelo para salon,Imperio Extensiones GDL,https://www.instagram.com/imperio_extensionsgdl/,,3324941839,Guadalajara,Jalisco,México,Mayoreo,Alta,6,Extensiones 100% humano; envíos nacionales; mayoreo y menudeo,research
Belleza,Extensiones de pelo para salon,Rapunzel Extensiones Naturales,https://www.facebook.com/RapunzelMX/,,5525005774,CDMX,CDMX,México,Mayoreo,Alta,6,"Extensiones 100% natural, mayoreo y menudeo; Buenavista 227, Lindavista",research
Belleza,Extensiones de pelo para salon,Amazon MX extensiones,https://www.amazon.com.mx/s?k=extensiones+de+cabello,,,México,México,México,Marketplace,Media,2,Sellers de extensiones,research
Belleza,Extensiones de pelo para salon,Beauty Art (ejemplo),https://shop.beautyart.com.mx/,,,CDMX,CDMX,México,Ejemplo original,Media,3,Ejemplo del cliente — tienda de belleza con extensiones para salón,ejemplo_cliente
Belleza,Extensiones de pelo para salon,Crazy Hair,https://www.crazyhair.com.mx/,,,CDMX,CDMX,México,Mayoreo,Media,4,"Pelucas y extensiones 100% humano, mix y sintético; ventas al mayoreo; sucursales CDMX y GDL",research
Belleza,Extensiones de pelo para salon,Don Moa Extensiones,,,5559590050,CDMX,CDMX,México,Mayoreo,Media,4,"Emprende con pelucas; Correo Mayor 5, locales 9 y 10, CDMX",research
Belleza,Extensiones de pelo para salon,El 10 Pelucas & Extensiones,,,5578602637,CDMX,CDMX,México,Tienda,Media,3,Pelucas y extensiones en el Centro; Alhóndiga 29E; envíos,research
Belleza,Extensiones de pelo para salon,Extensiones de pelo para salon (ejemplo original),https://shop.beautyart.com.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,Extensiones de pelo para salon,MAYFE,https://mayfe.com.mx/,,,México,México,México,Ecom,Media,3,30+ años; extensiones de cabello 100% humano con garantía de color,research
Belleza,Extensiones de pelo para salon,Mercado Libre extensiones,https://listado.mercadolibre.com.mx/extensiones-de-cabello-a-mayoreo,,,México,México,México,Marketplace,Media,2,Mayoreo de extensiones,research
Belleza,Extensiones de pelo para salon,Michelle Sainz Extensiones,,,5612964521,Guadalajara,Jalisco,México,Mayoreo,Media,4,"Sucursales GDL, CDMX y Vallarta; fibra premium (ACA Hair)",research
Belleza,Extensiones de pelo para salon,MV Hair Extensions,,,,CDMX,CDMX,México,Mayoreo,Media,2,"Venta de cabello mayoreo/menudeo y colocaciones; Izazaga 89 piso 5 local 505, Centro",research
Belleza,Extensiones de pelo para salon,Naked Hair,https://www.sallymexico.com/,,,México,México,México,Marca,Media,3,"Extensiones Remy con clip, vía Sally Beauty MX",brand
Belleza,Extensiones de pelo para salon,Novengasa / Star One,,,5528468155,CDMX,CDMX,México,Tienda,Media,3,"Tienda de belleza con extensiones; Calle del Carmen 67, Centro",research
Belleza,Extensiones de pelo para salon,Sally Beauty México,https://www.sallymexico.com/,,,CDMX,CDMX,México,Retail,Media,3,Cadena con sección de extensiones y pelucas,brand
Belleza,Extensiones de pelo para salon,ANOGOL,,,,México,México,México,Marca,Baja,1,"Extensiones trenzadas de color, vía ML",brand
Belleza,Extensiones de pelo para salon,CHECKK,,,,México,México,México,Marca,Baja,1,"Coleta postiza cabello natural, vía ML",brand
Belleza,Extensiones de pelo para salon,GALA Remy,,,,México,México,México,Marca,Baja,1,"Extensiones 100% natural 18'' básicos, vía ML",brand
Belleza,Extensiones de pelo para salon,GNN,,,,México,México,México,Marca,Baja,1,"Kit cortina de cabello 21 pzs, vía ML",brand
Belleza,Extensiones de pelo para salon,INVISIBLE,,,,México,México,México,Marca,Baja,1,"Extensiones hilo invisible mayoreo 6 pzs, vía ML",brand
Belleza,Extensiones de pelo para salon,JR Extensiones,,,,México,México,México,Marca,Baja,1,"Extensiones fibra natural con clips, mayoreo 6 pzs, vía ML",brand
Belleza,Extensiones de pelo para salon,LUV REMY,,,,México,México,México,Marca,Baja,1,"Extensiones Eve 22'' 100% natural, vía ML",brand
Belleza,Extensiones de pelo para salon,MU Extensiones,,,,México,México,México,Marca,Baja,1,"Extensiones clip de pelo natural 10 pzs, vía ML",brand
Belleza,Extensiones de pelo para salon,MY STYLE,,,,México,México,México,Marca,Baja,1,"Coletas de listón mayoreo, vía ML",brand
Belleza,Extensiones de pelo para salon,XBWIG,,,,México,México,México,Marca,Baja,1,"Extensiones clip rectas 7 pzs, vía ML (4.6★ 1,015 reviews)",brand
