giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Alimentos,Gomitas de vitaminas,Amazon MX gomitas,https://www.amazon.com.mx/s?k=gomitas+de+vitaminas,,,México,México,México,Marketplace,Media,2,Sellers de gomitas vitamínicas,research
Alimentos,Gomitas de vitaminas,B Life,https://www.blife.mx/,,,CDMX,CDMX,México,D2C,Media,4,"Suplementos y vitaminas, fuerte en ecom MX",research
Alimentos,Gomitas de vitaminas,Centrum (Pfizer),,,,USA,,México,Marca,Media,2,"Gomitas multivitamínico + omega, importado",brand
Alimentos,Gomitas de vitaminas,Costco México,https://www.costco.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Gomitas por mayoreo (multipack),brand
Alimentos,Gomitas de vitaminas,Farmacia San Pablo,https://farmaciasanpablo.mx/,,,CDMX,CDMX,México,Retail,Media,3,Cadena de farmacias con vitaminas,brand
Alimentos,Gomitas de vitaminas,Farmacias del Ahorro,https://www.fahorro.com/,,,CDMX,CDMX,México,Retail,Media,3,Vende gomitas y suplementos,brand
Alimentos,Gomitas de vitaminas,Farmacias Guadalajara,https://www.farmaciasguadalajara.com.mx/,,,Guadalajara,Jalisco,México,Retail,Media,3,Cadena con línea de vitaminas,brand
Alimentos,Gomitas de vitaminas,Gomitas de vitaminas (ejemplo original),https://vitalsuplementosmex.com/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Alimentos,Gomitas de vitaminas,Gummy Life,https://www.gummylife.mx/,,,México,México,México,D2C,Media,3,"Marca mexicana: gomitas biotina, omega 3, magnesio; 150k+ unidades; ML/Amazon/TikTok",research
Alimentos,Gomitas de vitaminas,Gummy Life — Gomitas Néurus,https://www.gummylife.mx/,,,México,México,México,Producto,Media,2,Omega 3 + L-Teanina + Complejo B en gomitas,research
Alimentos,Gomitas de vitaminas,Gummy Life — Gomitas Zenup,https://www.gummylife.mx/,,,México,México,México,Producto,Media,2,Magnesio + 5-HTP,research
Alimentos,Gomitas de vitaminas,Mercado Libre gomitas,https://listado.mercadolibre.com.mx/vitaminas-de-gomitas-mayoreo,,,México,México,México,Marketplace,Media,2,Mayoreo de vitaminas en gomitas,research
Alimentos,Gomitas de vitaminas,Natrol,,,,USA,,México,Marca,Media,2,"Melatonina gomitas, importado",brand
Alimentos,Gomitas de vitaminas,Nature Made,,,,USA,,México,Marca,Media,2,"Gomitas omega 3 / magnesio, importado",brand
Alimentos,Gomitas de vitaminas,Nature's Bounty,,,,USA,,México,Marca,Media,2,"Gomitas zinc y multivitamínicas, importado",brand
Alimentos,Gomitas de vitaminas,Nature's Truth,,,,USA,,México,Marca,Media,2,"Vitamina D3 gomitas, importado",brand
Alimentos,Gomitas de vitaminas,Nature's Way,,,,USA,,México,Marca,Media,2,"Gomitas crecimiento y altura, importado",brand
Alimentos,Gomitas de vitaminas,Vitafusion,,,,USA,,México,Marca,Media,2,"Gomitas multivitamínicas y calcio+D3, importado",brand
Alimentos,Gomitas de vitaminas,Vital Suplementos MX (ejemplo),https://vitalsuplementosmex.com/,,,México,México,México,Ejemplo original,Media,2,Ejemplo del cliente — gomitas de vitaminas y suplementos,ejemplo_cliente
Alimentos,Gomitas de vitaminas,Walmart México,https://www.walmart.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Autoservicio con sección de vitaminas,brand
Alimentos,Gomitas de vitaminas,Belabear,,,,México,México,México,Marca,Baja,1,Gomitas multivitamínico women 150 pzs,research
Alimentos,Gomitas de vitaminas,Básicos de la casa,,,,México,México,México,Distribuidor,Baja,1,Vende Nature Made y Centrum en ML,research
Alimentos,Gomitas de vitaminas,C-Boost,,,,México,México,México,Marca,Baja,1,"Gomitas multivitamínicas 180 pzs, sabor cítrico",research
Alimentos,Gomitas de vitaminas,Geomed,,,,México,México,México,Distribuidor,Baja,1,"Distribuye Plenlife en ML (4.9★, 125 reviews)",research
Alimentos,Gomitas de vitaminas,Heally,,,,México,México,México,Marca,Baja,1,Multivitamínico + colágeno gomitas zarzamora,research
Alimentos,Gomitas de vitaminas,OK Vitaminas,,,,México,México,México,Distribuidor,Baja,1,Nature's Way y gomitas importadas vía ML,research
Alimentos,Gomitas de vitaminas,Plenlife,,,,México,México,México,Marca,Baja,1,"Gomitas calcio + Vit D, multivitamínico adulto; venta ML",research
Alimentos,Gomitas de vitaminas,Suplefit MX,,,,México,México,México,Distribuidor,Baja,1,"Vitafusion, gomitas importadas vía ML",research
Alimentos,Gomitas de vitaminas,Vitamin World,,,,México,México,México,Retail,Baja,0,Natrol melatonina gomitas vía ML,research
