giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Suministros Profesionales,Insumos para Tattoo y Body Art,AGMA Tattoo Supply,https://agmatattoo.com/,,7711691599,Pachuca,Hidalgo,México,Mayoreo,Alta,6,Insumos para tatuaje,research
Suministros Profesionales,Insumos para Tattoo y Body Art,Daruma Supply Tattoo,https://www.darumasupplytattoo.com/,castillo.aguil4@gmail.com,5519649709,CDMX,CDMX,México,Mayoreo,Alta,9,Insumos profesionales,research
Suministros Profesionales,Insumos para Tattoo y Body Art,Eagle Tattoo Supply,https://eagletattoosupply.com/,,5583396661,CDMX,CDMX,México,Mayoreo,Alta,6,"Distribuidor nacional desde 2016; tintas, agujas, máquinas y cartuchos",research
Suministros Profesionales,Insumos para Tattoo y Body Art,Inkside Supply,https://inksidesupply.com/,ventas@inksidesupply.com,5510480496,CDMX,CDMX,México,Mayoreo,Alta,9,"Tintas, cartuchos y máquinas CDMX",research
Suministros Profesionales,Insumos para Tattoo y Body Art,Reyes Tattoo Supply,https://www.reyestattoosupply.com/,ventas@reyestattoosupply.com,3320031187,Zapopan,Jalisco,México,Mayoreo,Alta,9,"Distribuidor oficial FK Irons, Cheyenne, Eternal y Bishop; Av. Tepeyac 930A",research
Suministros Profesionales,Insumos para Tattoo y Body Art,Soulflower (ejemplo),https://soulflower.mx/,soulflowercustom@gmail.com,5545127515,CDMX,CDMX,México,Ejemplo original,Alta,8,Ejemplo del cliente — insumos para tatuar,ejemplo_cliente
Suministros Profesionales,Insumos para Tattoo y Body Art,Tarmex Tattoo Supply,https://tarmex-vip.com/,ventas@tarmex-vip.com,5562786666,CDMX,CDMX,México,Mayoreo,Alta,9,Insumos profesionales para tatuar,research
Suministros Profesionales,Insumos para Tattoo y Body Art,Zebra Tattoo Supply,https://zebratattoosupply.com/,ventas@zebratattoosupply.com,5541880654,CDMX,CDMX,México,Mayoreo,Alta,9,"Máquinas, cartuchos, PMU; envíos MX",research
Suministros Profesionales,Insumos para Tattoo y Body Art,Amazon MX tattoo supply,https://www.amazon.com.mx/s?k=tattoo+supply,,,México,México,México,Marketplace,Media,2,Sellers de insumos para tatuar,research
Suministros Profesionales,Insumos para Tattoo y Body Art,Bishop Rotary,,,,USA,,México,Marca,Media,2,"Máquinas rotary, distribución oficial MX",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Cheyenne,,,,Alemania,,México,Marca,Media,2,"Máquinas pen y cartuchos, distribución MX",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Dynamic Tattoo Ink,,,,USA,,México,Marca,Media,2,"Triple Black y colores, vía Soulflower",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Eternal Ink,,,,USA,,México,Marca,Media,2,"Tintas profesionales, distribución MX",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,FK Irons,,,,USA,,México,Marca,Media,2,"Máquinas de tatuar, distribución oficial MX",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Fusion Ink,,,,USA,,México,Marca,Media,2,"Tintas, distribución MX",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Insumos para Tattoo y Body Art (ejemplo original),https://soulflower.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Suministros Profesionales,Insumos para Tattoo y Body Art,Kit Axis Soulflower,https://soulflower.mx/,,,CDMX,CDMX,México,Producto,Media,3,Kit profesional Soulflower x Radiant Axis,research
Suministros Profesionales,Insumos para Tattoo y Body Art,Make Art Supply,https://makeartsupply.com/,,,México,México,México,Mayoreo,Media,3,Insumos profesionales para tatuadores,research
Suministros Profesionales,Insumos para Tattoo y Body Art,Mercado Libre tattoo,https://listado.mercadolibre.com.mx/tintas-para-tatuar,,,México,México,México,Marketplace,Media,2,"Tintas, máquinas y cartuchos",research
Suministros Profesionales,Insumos para Tattoo y Body Art,Radiant Colors,,,,USA,,México,Marca,Media,2,"Tintas de color, vía Soulflower",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Starbrite,,,,USA,,México,Marca,Media,2,"Tintas, vía Reyes",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Tinta Dynamic 1oz,https://soulflower.mx/,,,CDMX,CDMX,México,Producto,Media,3,Dynamic Triple Black 1oz,research
Suministros Profesionales,Insumos para Tattoo y Body Art,World Famous Tattoo Ink,,,,USA,,México,Marca,Media,2,"Tintas, distribución MX",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Allegory Ink,,,,México,México,México,Marca,Baja,1,"Tintas, vía Eagle",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Atomus,,,,México,México,México,Marca,Baja,1,"Tintas y kits profesionales, vía ML",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,EZ Cartuchos,,,,México,México,México,Marca,Baja,1,Cartuchos V-Select y EZ INKin Revo,brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Muramaudi,,,,México,México,México,Marca,Baja,1,"Kits profesionales, vía ML",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,Panthera,,,,México,México,México,Marca,Baja,1,"Tinta para tatuaje, vía Soulflower",brand
Suministros Profesionales,Insumos para Tattoo y Body Art,SUPRA,,,,México,México,México,Marca,Baja,1,"Set de 12 tintas, vía Soulflower",brand
